Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.5,0.49962814962814966,0.4996281496281496,0.5,57.48100193341573
BaggingClassifier,0.5666666666666668,0.5767325267325267,0.5767325267325268,0.55701726342711,15.90845505396525
BernoulliNB,0.5166666666666666,0.5309153809153809,0.5309153809153809,0.5112408546619073,1.1718062559763591
CalibratedClassifierCV,0.4666666666666666,0.4814648314648315,0.4814648314648315,0.4488262322472849,4.995392322540283
DecisionTreeClassifier,0.39999999999999997,0.3998408998408998,0.3998408998408998,0.40404040404040403,4.024953047434489
DummyClassifier,0.43333333333333335,0.5,0.5,0.26470838654746703,1.0743611653645833
ExtraTreeClassifier,0.35000000000000003,0.3403670403670404,0.3403670403670403,0.35479323308270677,1.1109836101531982
ExtraTreesClassifier,0.5333333333333333,0.5613812113812114,0.5613812113812114,0.523999392420445,1.3346453507741292
GaussianNB,0.4833333333333334,0.4923631923631923,0.49236319236319237,0.48355231513126246,1.1938060124715169
KNeighborsClassifier,0.6166666666666667,0.6141580641580641,0.6141580641580641,0.6168020050125314,1.1105446815490723
LGBMClassifier,0.6166666666666667,0.6278147778147778,0.6278147778147778,0.6189843295106453,36.304028352101646
LabelPropagation,0.5333333333333333,0.5,0.5,0.3749216300940439,1.1999091307322185
LabelSpreading,0.5333333333333333,0.5,0.5,0.3749216300940439,1.2021870613098145
LinearDiscriminantAnalysis,0.5333333333333333,0.5446238946238946,0.5446238946238946,0.5309930837323488,2.2221501668294272
LinearSVC,0.5333333333333333,0.5426998926998926,0.5426998926998926,0.5353636616794512,3.225550969441732
LogisticRegression,0.55,0.5522237022237022,0.5522237022237022,0.5529668160170246,1.341124693552653
NearestCentroid,0.4833333333333334,0.48818033818033824,0.48818033818033824,0.4849480906016106,1.2187389532725017
NuSVC,0.5,0.5325230325230325,0.5325230325230326,0.48989898989898983,1.8579254945119221
PassiveAggressiveClassifier,0.5499999999999999,0.5593665593665593,0.5593665593665593,0.5524898103845471,1.3636356194814045
Perceptron,0.5166666666666667,0.5328393828393828,0.5328393828393828,0.5051963241436925,1.212474266688029
QuadraticDiscriminantAnalysis,0.45,0.4280571280571281,0.4280571280571281,0.444323577656911,1.5576016108194988
RandomForestClassifier,0.4833333333333334,0.5059033559033559,0.505903355903356,0.46764243943191314,1.6261366208394368
RidgeClassifier,0.5666666666666668,0.5831760831760832,0.5831760831760832,0.5676691729323308,1.218752384185791
RidgeClassifierCV,0.5666666666666668,0.5831760831760832,0.5831760831760832,0.5676691729323308,1.2504289944966633
SGDClassifier,0.5166666666666667,0.5328393828393828,0.5328393828393828,0.5051963241436925,1.2315409183502197
SVC,0.5166666666666667,0.5710955710955711,0.5710955710955711,0.47051185851185856,1.890252987543742
XGBClassifier,0.5499999999999999,0.558959558959559,0.558959558959559,0.5530695425432267,14.593439102172852
